openclaw_version,dimension,n_cases,latency_s,tokens_in,tokens_out,cache_read,cache_write,tokens_total,mean_steps,task,safe,score,progress,pass_at_k,pass_all_k,pass_at_k_over_pass_all_k
2026.2.26,full_explicit,14,78.76535714285714,102475,4321,168704,0,179972,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026.4.2,full_explicit,14,53.831554407018324,50253.28571428572,2934.3571428571427,303817.14285714284,0.0,357004.78571428574,28.00000714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026.2.26,goal_miss,14,78.704,108696,3993,167296,0,179186,27.571428571428573,1.0,0.9285714285714286,0.9642857142857143,1.0,0.9285714285714286,0.9285714285714286,1.0
2026.4.2,goal_miss,14,54.35299617141673,48843.357142857145,3029.8571428571427,308589.71428571426,0.0,360462.9285714286,28.642857142857142,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9666666666666667,0.8571428571428571,0.7142857142857143,1.2
2026.2.26,goal_ambiguity,14,81.87464285714285,116437,4751,167296,0,176976,28.571428571428573,1.0,0.9285714285714286,0.9535714285714285,1.0,0.9285714285714286,0.9285714285714286,1.0
2026.4.2,goal_ambiguity,14,55.832568598828225,52615.142857142855,3136.714285714286,314523.4285714286,0.0,370275.28571428574,29.452385714285715,0.8809524285714286,0.9285714285714286,0.9047618571428571,0.9238095238095239,0.9285714285714286,0.6428571428571429,1.4444444444444444
2026.2.26,action_miss,14,73.27407142857143,111491,3363,168576,0,183946,27.357142857142858,0.42857142857142855,0.7857142857142857,0.6035714285714285,0.7952142857142858,0.42857142857142855,0.42857142857142855,1.0
2026.4.2,action_miss,14,50.47701465376038,57300.357142857145,3354.6428571428573,274102.85714285716,0.0,334757.85714285716,29.54762142857143,0.3809524285714286,0.8095238571428572,0.5916666428571429,0.7809285714285714,0.42857142857142855,0.21428571428571427,2.0
2026.2.26,action_ambiguity,14,96.1415,117123,4863,183680,0,195089,33.07142857142857,0.5714285714285714,0.7857142857142857,0.6749999999999999,0.8642857142857142,0.5714285714285714,0.5714285714285714,1.0
2026.4.2,action_ambiguity,14,51.05161948150967,65812.71428571429,3882.714285714286,268873.14285714284,0.0,338568.5714285714,30.238092857142856,0.452381,0.8333333571428572,0.6392856428571428,0.7738095238095238,0.5,0.2857142857142857,1.75
2026.2.26,tool_miss,14,77.54492857142857,94817,4159,156032,0,174884,26.357142857142858,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9464285714285714,0.9285714285714286,0.9285714285714286,1.0
2026.4.2,tool_miss,14,52.07945665708498,48187.357142857145,2916.5714285714284,294281.14285714284,0.0,345385.0714285714,26.714292857142855,0.7142856428571429,0.9761905000000001,0.8416667142857143,0.8404761904761905,0.9285714285714286,0.5714285714285714,1.6250000000000002
2026.2.26,tool_ambiguity,14,75.2945,108068,4312,174848,0,184693,26.857142857142858,1.0,0.9285714285714286,0.9642857142857143,1.0,0.9285714285714286,0.9285714285714286,1.0
2026.4.2,tool_ambiguity,14,54.36071860181027,55320.857142857145,3140.714285714286,302052.5714285714,0.0,360514.14285714284,29.261907142857144,0.8809524285714286,0.9285714285714286,0.9047618571428571,0.9380952380952381,0.9285714285714286,0.6428571428571429,1.4444444444444444
