model,baseline_case_id,log_category_histogram_zh,agent_log_primary_cause_zh,note
anthropic/claude-sonnet-4.6,community_member_onboarding_full_explicit,"API限流/速率限制:1; 叙述型:4","5次中1次明确API rate limit；其余为正常推理叙述。限流会导致工具链未跑完，与低分/低progress可叠加。","异常表：baseline分数低于若干变体；progress未满分。"
anthropic/claude-sonnet-4.6,k8s_stray_job_cleanup_full_explicit,"叙述型:5","2026-04-22 重跑替换：5 次均为按 runbook 分步执行与说明，未见 approve/429 关键词；与 score.json 对照任务是否落地。","artifact 自 runs/2026-04-22/k8s_stray_job_cleanup_full_explicit 同步至 final_results 后已重算指标。"
anthropic/claude-sonnet-4.6,kafka_consumer_lag_reset_full_explicit,"API限流:1; 叙述型:4","存在 rate limit；其余为按 runbook 分步说明。","progress<1 时多为步骤未在环境里真实落地。"
anthropic/claude-sonnet-4.6,multi_source_tech_news_digest_full_explicit,"叙述型:5","共性：exec/sandbox 拦截 `python tools/...` 子路径或预检，模型改为手工复现逻辑或换方式执行。","日志显示「工具调用被策略挡住」类摩擦，易拉低稳定性。"
anthropic/claude-sonnet-4.6,podcast_publish_clear_006,"叙述型:5; 字数校验:5","2026-04-22 重跑替换：各 trial 均先校验帖文 ≤280 字与 @ 提及后再发布，日志为连贯执行叙述。","artifact 自 runs/2026-04-22/podcast_publish_clear_006 同步至 final_results 后已重算指标。"
moonshotai/kimi-k2.5,podcast_publish_clear_006,"叙述型:5","主要为正常执行：改短帖子、用 --post-file 等；属任务内策略调整叙述。","与异常表中 score/progress 关系需对照各 trial。"
openai/gpt-5.1,community_campaign_publish_full_explicit,"叙述型:4; 日志含error字样:1","多次声称「python 工具被拒绝/预检失败」或请用户代跑；非必然抛栈，但属于「执行被挡」。","易出现「口述流程但未真正写文件」风险。"
openai/gpt-5.1,community_member_onboarding_full_explicit,"API限流:1; 叙述型:2; 等待人工批准:2","典型：run2/run4 卡在要求用户输入 `/approve ... allow-once`；run5 纯 rate limit 两行。","门控+限流。"
openai/gpt-5.1,community_report_triage_full_explicit,"API限流:1; 叙述型:2; 等待人工批准:2","list_reports 等需 approve；另有 rate limit。","社区类任务对「首批命令门控」敏感。"
openai/gpt-5.1,game_hotfix_review_clear_006,"API限流:4; 叙述型:1","5次里4次仅两行 rate limit，实质几乎未开展 git 操作空间。","强烈环境噪声；低分常与未完成分支/保护路径相关。"
openai/gpt-5.1,industry_news_credibility_filter_full_explicit,"API限流:1; 叙述型:4","一次限流；其余为正常写 digest。","相对干净。"
openai/gpt-5.1,k8s_stray_job_cleanup_full_explicit,"日志含error字样:5","共性文案：无法在环境执行 k8s_tools，改为「教你复制命令」——属执行拒绝类，不是业务根因段落。","与 score 中「是否真删 job」需对照是否仅口述。"
openai/gpt-5.1,kafka_consumer_lag_reset_full_explicit,"叙述型:5","几乎全是「把 runbook 命令写成可复制段落」，常见「若你有 shell 请执行」。","易出现未在容器内真实 reset 的情况。"
openai/gpt-5.1,kb_article_publish_full_explicit,"叙述型:4; 等待人工批准:1","多次 exec 受限；list_drafts 需 approve。","门控+预检。"
openai/gpt-5.1,multi_source_tech_news_digest_full_explicit,"叙述型:5","若干 trial 明确无法跑 build_digest/list_sources，只能让用户代跑或口述。","与 per_case 里 score 缺失可同时出现。"
openai/gpt-5.1,podcast_publish_clear_006,"叙述型:5","含「社交客户端拒帖/超长」与后续改写等叙述。","任务内约束触发。"
openai/gpt-5.1,travel_trip_packet_full_explicit,"叙述型:4; 等待人工批准:1","一次要求 approve list_trips；其余为复制行程文件说明。",
openai/gpt-5.4,community_member_onboarding_full_explicit,"API限流:1; 叙述型:4","一次限流；其余多能写出 approve/deny 与 welcome 结果叙述。",
openai/gpt-5.4,community_report_triage_full_explicit,"叙述型:3; 等待人工批准:1; 鉴权/API类提示:1","含「工具需显式 reason」「ban 失败重试」等；另有个别 approve 门控。",
openai/gpt-5.4,game_hotfix_review_clear_006,"叙述型:4; 等待人工批准:1","git 工作流常遇 sh/bash 差异、值不匹配需多轮改；一次整段 git 脚本需 approve。",
openai/gpt-5.4,kafka_consumer_lag_reset_full_explicit,"API限流:1; 叙述型:3; 鉴权/API类提示:1","脚本非真正 shell/需 bash；多次强调只动 click-stream。",
openai/gpt-5.4,podcast_publish_clear_006,"叙述型:5","含检查 social_client、两次发帖、一次显式请求对 publish 命令的 approve。",
openai/gpt-5.4-mini,community_campaign_publish_full_explicit,"叙述型:5","个别 trial 明确 shell blocked by allowlist。",
openai/gpt-5.4-mini,community_member_onboarding_full_explicit,"叙述型:5","run3 等出现 policy 阻止 list_applications。",
openai/gpt-5.4-mini,community_report_triage_full_explicit,"API限流:1; 叙述型:2; 输出很短:2","两次仅 Done；一次限流。短日志多为提前结束或最后一步才落盘。",
openai/gpt-5.4-mini,email_reply_meeting_full_explicit,"叙述型:4; 输出很短:1","多次「read_mail 被策略挡住请粘贴输出」。",
openai/gpt-5.4-mini,k8s_stray_job_cleanup_full_explicit,"叙述型:4; 日志含error字样:1","混合：能写出清理结论的 trial vs exec policy 挡集群命令的 trial。",
openai/gpt-5.4-mini,kafka_consumer_lag_reset_full_explicit,"叙述型:5","2026-04-22 更新：日志为 describe/reset 结构化输出（含 click-stream lag 前后对比），未见「请粘贴」类占位主导。","artifact 自 runs/2026-04-22/kafka_consumer_lag_reset_full_explicit 仅同步 bench-openai_gpt-5_4-mini_run* 至 final_results 后已重算指标。"
openai/gpt-5.4-mini,kb_article_publish_full_explicit,"叙述型:4; 输出很短:1","与 list_drafts allowlist 相关叙述。",
openai/gpt-5.4-mini,multi_source_tech_news_digest_full_explicit,"API限流:1; 叙述型:4","一次限流；另有 sandbox policy 重试叙述。",
openai/gpt-5.4-mini,pg_online_index_creation_full_explicit,"叙述型:5","部分 trial 无法跑 psql_mock，请用户粘贴 \\d / 索引查询。",
openai/gpt-5.4-mini,podcast_publish_clear_006,"叙述型:5","含 git identity 缺失、social 工具参数尝试等。",
openai/gpt-5.4-mini,project_state_standup_clear_006,"API限流:2; 叙述型:2; 输出很短:1","限流与短 Done 并存。",
